start,end,text
400000,417000,"そうですね。電話対応のお仕事自体はほぼ未経験なんですけども、そういった方でも研修等で学んで問題なくできる感じですかね。"
417000,428000,"そうですね。今回の基本的な条件のところに関しては、オフィスクールの基本的な操作が大丈夫な方というところと、"
428000,436000,"コールセンターとか問わず、業務上でのお電話の対応、経験があれば問題ないというところになりますので、"
436000,444000,"それも踏まえて入っていただいた際にはレクチャーなどのご安心していただければと思います。"
444000,447000,"分かりました。ありがとうございます。"
447000,454000,"電話の対応経験というのは、介護施設や飲食店でご経験があれば簡単ですかね。"
454000,463000,"そうですね。電話をかかってきた際に対応する程度なんですけども、その程度なんですけども。"
463000,467000,"ご経験があれば特段問題ございません。"
467000,469000,"分かりました。ありがとうございます。"
469000,477000,"はい、ありがとうございます。続いてご乗勤名に関しては、勤務ってが東京駅から徒歩2分の場所にございまして、"
477000,484000,"お時間給が1900円の交通費対押経路での行政限定基材で全額お支払いになります。"
484000,493000,"勤務の曜日は月曜から金曜日の週1日勤務、土日祝日がお休みになりまして、"
493000,500000,"勤務のお時間は9時から18時までの実動8時間休憩1時間になっております。"
500000,509000,"残業に関しては大体月に20時間程度といった形で、毎日1時間前後あるような形になりますが、"
509000,512000,"そのあたりお時間と特に問題なさそうですか。"
512000,513000,"はい、大丈夫です。"
513000,514000,"はい、ありがとうございます。"
514000,523000,"今回こちらのお仕事は翌日からの開始募集になりますので、この辺りご希望の日程で進めさせていただければと思います。"
523000,524000,"わかりました。"
524000,531000,"はい、2つ目のお仕事について全体でご紹介以上になりますが、何かご覚えてご質問でございますか。"
531000,536000,"お仕事面での、そうですね、特にはないです。はい、大丈夫です。"
536000,537000,"はい、ありがとうございます。"
537000,545000,"それでは、今のお仕事2つご紹介させていただきましたが、先ほどのこちらエントリーご希望で進めて問題なさそうですか。"
545000,547000,"そうですね、はい、大丈夫です。"
547000,548000,"はい、ありがとうございます。"
548000,556000,"そうしましたら、エントリーご希望ということで社内選考を入らせていただければと思うんですけれども、"
556000,562000,"社内選考を入らせていただくにあたって、職務経歴の確認だけさせていただいておりまして、"
562000,568000,"毎ページにご登録いただいたものに沿って、簡単に業務内容だったりご承認させていただいてもよろしいですか。"
568000,569000,"はい、大丈夫です。"
569000,570000,"ありがとうございます。"
570000,577000,"まず、2020年の3月に伊豆専門学校も卒業なさって、"
577000,582000,"一緒に入れていただいているのが2020年の6月からのお仕事になりますが、"
582000,587000,"ご卒業から3か月の間は何か別のお仕事なんかございましたか。"
587000,603000,"仕事自体はしていなくて、学生時代のときから働いていたラーメン屋さんの方でアルバイトをしていて、"
603000,613000,"アルバイトをしながら6月に働いていたラーメン屋さんの方が店をオープンするというところがあるんですけど、"
613000,625000,"6月にオープンのラーメン屋さんが知り合いのラーメン屋さんで個人営業として店を開くというところで、"
625000,633000,"一緒に手伝ってほしいという話がありまして、それで入社を決めたんですけども、"
633000,646000,"オープンするまでの間アルバイトと並行してお店の開業の内装の掃除だったりだとかをお手伝いしていた期間になります。"
646000,666000,"3か月の間はオープンまでの業務をされていらっしゃって、2020年6月から2022年6月まで横浜家系ラーメン屋さんで接客のお仕事になります。"
666000,676000,"はい、そうです。 承知いたしました。ここは接客の業務がメインかと思いますが、例えば電話対応だったりとかはございましたか?"
676000,688000,"そうですね。お客様だったり、営業の方からの電話対応だったりだとかはしてました。"
688000,698000,"はい、承知いたしました。ここのラーメン屋さんでは何かその接客やお電話対応以外で何か別の業務などございましたか?"
698000,702000,"それ以外では特にはないですね。"
702000,709000,"何かその在庫の管理だったりとか、売り上げの管理みたいなところ特になかった感じですか?"
709000,711000,"そこには携わってないです。"
711000,729000,"承知しました。ありがとうございます。こちらのお仕事は2022年6月までで、ご退職というようにジョブチェンジしてみたかったというふうにご入力いただいていますが、これを事務業務だったりとか、次の会合業務に行きたくてという感じなんですか?"
729000,747000,"そうですね。アルバイト時代からラーメン屋だったので、一度専門学校で学んだ分野を活かした仕事をしてみたいなという気持ちがありまして、それでラーメン屋の方は一度退職しました。"
747000,749000,"承知いたしました。ありがとうございます。"
749000,767000,"次が2022年の8月から2023年4月までの株式会社水平生産でのお仕事で、こちらが介護のお仕事かと思うんですけれども、ここは介護業務と合わせて事務業務もやられていらっしゃったという感じですかね?"
767000,768000,"はい、そうです。"
768000,771000,"承知いたしました。ありがとうございます。"
771000,783000,"こちらは先ほどエクセルで事務業務もやられていらっしゃったというふうにお伺いさせていただきましたが、ここはどういった内容をエクセルで管理されていらっしゃったんですか?"
783000,812000,"そうですね。利用者様の年数、利用者が1か月の利用者の配数だったりだとか、あとは、そこで支援を受けるものが違うんですけれども、"
812000,832000,"その種類を分けて、そこに誰かその利用、簡単な数字を入れていく、それを集計してという感じの作業になるんですけど、"
832000,837000,"なるほどですね。数字というのは、回数の数字ということなんですかね?"
837000,839000,"そうですね。回数の数字と、"
839000,846000,"はい、承知しました。これは元々何かそのフォーマットとかがあって入力するような感じなんですか?"
846000,850000,"それとも何か1からグラフとか作ってみたいな感じなんですかね?"
850000,856000,"1から作るものもありましたし、もともとあったものも使ってました。"
856000,859000,"なるほどですね。承知しました。ありがとうございます。"
859000,862000,"それ以外に何か事務業務とかございましたか?"
862000,872000,"そうですね。あとは、保護者の方に手紙を作成して送ったりだとか、"
872000,884000,"あと、保護者様と支援に関して電話でのやりとりだとか、そういったものはしてました。"
884000,888000,"承知しました。手紙作成というのはワードとかで作成するような?"
888000,892000,"そうです。ワードで作成しましたね。"
892000,894000,"承知しました。ありがとうございます。"
894000,899000,"こちらのお仕事が2023年の4月まででいただいてまして、"
899000,904000,"この社内のパオハラ的なところがあってご対処という形ですね。"
904000,907000,"承知しました。ありがとうございます。"
907000,913000,"その後は、2023年5月から2024年12月までで、"
913000,918000,"また、先ほどの横浜のUKラーメンの姉さんの方に戻られて、"
918000,921000,"こちらはこれを受けてアルバイトですね。"
921000,929000,"ここは先ほどお伺いしたのと、業務内容的には特に変わりなく?"
929000,931000,"変わりはないです。"
931000,935000,"ここでも特に事務的な業務は特になくという感じですかね?"
935000,938000,"そうですね。特にはないです。"
938000,940000,"承知しました。ありがとうございます。"
940000,944000,"こちらが2024年の12月までということで、"
944000,948000,"ご対処利用は会社都合でご選択いただいていますが、"
948000,951000,"損使いなければご理由とお伺いしたのではないらしいですか?"
951000,953000,"そうですね。"
953000,969000,"物価高のところで給料を同じ金額で上げることがどんどん厳しくなってしまった。"
969000,974000,"店の規模もすごく大きいわけではなかったので、"
974000,977000,"2人で切り盛りしていたのですが、"
977000,988000,"減価率が高くなって、売り上げがすごく上がるわけではなかったので、"
988000,997000,"ここで、これから長く給料を同じ金額で払い続けることが厳しいという話をされて、"
997000,1004000,"会社都合で退職となりました。"
1004000,1006000,"承知いたしました。ありがとうございます。"
1006000,1012000,"その後のお仕事が2025年1月から2025年3月までの、"
1012000,1016000,"株式会社ジャパンリリースさんでのお仕事で、"
1016000,1019000,"こちらが発見社員さんでのお仕事ですね。"
1019000,1021000,"はい、そうです。"
1021000,1026000,"こちらはスタッフの送迎・構内作業というふうにいただいていますが、"
1026000,1029000,"こちらはどういった業務になられるんですか?"
1029000,1033000,"積載車が車を持ってくるんですけども、"
1033000,1038000,"そちらの車を運転して運んだりだとか、"
1038000,1044000,"構内に駐車してある車の管理だとか、"
1044000,1049000,"そちらで働いているスタッフさんは駅まで送迎したりだとかという業務でした。"
1049000,1053000,"なるほどですね。承知いたしました。ありがとうございます。"
1053000,1056000,"車を移動した後の管理だったりとか、"
1056000,1060000,"それは何かデータとかでまとめるような感じですか?"
1060000,1064000,"そうですね。もともと作られている、"
1064000,1072000,"パソコンで作られているものに簡単に入力作業をするだけなんですけども。"
1072000,1076000,"なるほど。これはエクセルとかそういったものですか?"
1076000,1081000,"エクセルだとは思うんですけど、すごく含まれています。"
1081000,1085000,"なるほどですね。承知をしてありがとうございます。"
1085000,1090000,"こちらの仕事が2025年の3月まででいただいてまして、"
1090000,1094000,"こちらのご退職理由に、現場での作業から、"
1094000,1098000,"オフィスワークでの仕事を挑戦したいということだったんですけども、"
1098000,1102000,"オフィスワークに転職したいなと思われたごきっかけとか、"
1102000,1105000,"ご理由とかって何かあったりされますか?"
1105000,1115000,"そうですね。今までの仕事が現場で、自分の体を下にして動かす仕事がほとんどだったので、"
1115000,1128000,"これから長く見たときに、安定して働けたりだとか、"
1128000,1135000,"カリアアップできる仕事がいいなと思いまして、"
1135000,1147000,"例えば事務作業を選択した理由は、自分が今まで基本的な作業しかできなかったので、"
1147000,1158000,"そこを仕事で学びながら、いろんなオフィスワークができるようになれば、"
1158000,1164000,"視野も広がるのかなと思うし、もっと上に目指せていけるのかなと思いまして、"
1164000,1173000,"視野の幅が広がると考えると、パソコン業務って本当に広いなと思っていて、"
1173000,1178000,"ここでオフィスワークの経験をしてみたいというふうに思いました。"
1178000,1181000,"そうだったですね。ありがとうございます。"
1181000,1186000,"そうしましたら、今お伺いした内容で社内選考を入らせていただきまして、"
1186000,1190000,"社内選考の結果に関しては、2~3日以内にはお電話かネイルで、"
1190000,1193000,"改めてご結果ご連絡させていただければと思います。"
1193000,1195000,"はい、わかりました。"
1195000,1203000,"社内選考にご通過となった際に、実際の企業の担当者の方から詳しい業務にあるようなご説明でしたりとか、"
1203000,1210000,"実際に働いていただく職場の雰囲気を見ていただけるような職場見学といったお時間を設けていますが、"
1210000,1213000,"こちらはご希望で進めても問題なさそうですか?"
1213000,1214000,"はい、大丈夫です。"
1214000,1215000,"ありがとうございます。"
1215000,1220000,"ご通過中にはまた日程ご調整できればと思いますので、よろしくお願いいたします。"
1220000,1222000,"はい、お願いします。"
1222000,1228000,"今回ご紹介させていただいたお仕事以外にも、他にもご希望のご条件に合うようなお仕事があれば、"
1228000,1237000,"別途ご提案ができればと思いまして、今回の職種は事務職でというふうに先ほどお伺いさせていただいたと思うんですけれども、"
1237000,1245000,"それ以外で何かご希望のご条件とお伺いできればと思うんですけれども。"
1245000,1260000,"事務職は変えずになんですけども、あとは給料名もだいたい同じぐらいのところが良くて、"
1260000,1266000,"今のお仕事が1800円ぐらいですか?"
1266000,1270000,"そうですね、だいたいそのぐらいです。"
1270000,1272000,"承知いたしました。ありがとうございます。"
1272000,1278000,"ちなみに事務職って一般事務とかそういったお仕事で探していますか?"
1278000,1284000,"それとも何かホールセンターだったりとかそういったところも範囲的には入ってきますか?"
1284000,1288000,"今のところは一般事務で考えていまして、"
1288000,1303000,"無気持ちで全然いいんですけども、だいたくでできる事務の仕事だったりだとかにつければ一番自分的にはそうですね、"
1303000,1306000,"そういうふうに考えているところでして、"
1306000,1307000,"承知しました。"
1307000,1310000,"だいたくの方がいいなとか思われたのか、"
1310000,1313000,"ご理由とか引っ掛けとかって何かあったりされますか?"
1313000,1323000,"そうですね。自分の都合にはなってしまうんですけども、"
1323000,1335000,"プライベートといえばプライベートにはあるんですけど、"
1335000,1339000,"ダーツのプロ資格を取っていまして、"
1339000,1347000,"練習の時間が夜になることがやはり多くて、"
1347000,1355000,"仕事始まってとダーツの練習時間は短くして、"
1355000,1360000,"次の日の仕事のためにというふうにはしてるんですけども、"
1360000,1370000,"家から近いところの方が、"
1370000,1375000,"気持ちから帰ってきて練習しに行ってというよりかは、"
1375000,1380000,"贅沢で仕事して、家から近いところに行ってるので、"
1380000,1383000,"そういった意味で、"
1383000,1391000,"スケジュールがすごく良いと言いますか、"
1391000,1394000,"すごい個人的な都合で申し訳ないですけども、"
1394000,1397000,"練習との間に合いとかもあって、"
1397000,1405000,"1日でも2日でも在宅できる環境だったら、"
1405000,1409000,"ちょっと楽なのもありますよね。"
1409000,1416000,"というところで、後々に在宅ができたらいいのかなというふうに考えていた。"
1416000,1418000,"なるほどですね。"
1418000,1420000,"承知しました。ありがとうございます。"
1420000,1422000,"全然とんでもないです。"
1422000,1429000,"通勤時間は毎ページでいただいている1時間半以内でお探しですかね?"
1429000,1436000,"そうですね。1時間半以内であれば買えなくはないかなというふうには、"
1436000,1441000,"一番は1時間くらいで収まれば気持ちや楽なんですけども。"
1441000,1445000,"なるほどですね。承知しました。ありがとうございます。"
1445000,1448000,"すみません。お話も戻っちゃうんですけども、"
1448000,1455000,"直近の休暇期は3月までのジャパンリリースさんのお仕事でいただいたと思うんですが、"
1455000,1460000,"それ以降って今現在まで何か別のお仕事だったりとかってございますか?"
1460000,1462000,"今はしてないですね。"
1462000,1466000,"短期とか短髪のお仕事とかも特になくっていう感じですかね?"
1466000,1468000,"はい。してないです。"
1468000,1470000,"承知しました。ありがとうございます。"
1470000,1475000,"開始日のところ5月の12日ってご希望いただいているのは、"
1475000,1479000,"タイミング切り押すみたいな感じですかね?"
1479000,1488000,"そうですね。今は本当に何もしていないので、いつからでも働けますよというところで。"
1488000,1491000,"なるほどですね。了承しました。ありがとうございます。"
1491000,1499000,"一番週の始めが、次が12日からだったので、そこを入力させてもらった感じですね。"
1499000,1501000,"ありがとうございます。"
1501000,1506000,"そうしましたら、今お伺いしたご希望の50点のところで、"
1506000,1509000,"他にも待ちそうなお仕事がございましたら、"
1509000,1513000,"その辺をご紹介できればと思いますので、よろしくお願いいたします。"
1513000,1515000,"はい。お願いします。"
1515000,1519000,"一旦、私からは全体でご説明等以上になるんですけども、"
1519000,1522000,"何かごはめでご質問とかされますか?"
1522000,1531000,"そうですね。これからエントリーをして、2、3営業日くらいで先行結果が。"
1531000,1533000,"そうですね。"
1533000,1540000,"その先行結果というのは、大体次の月曜日くらいですかね。"
1540000,1545000,"そうですね。なるべく早くご連絡できればと思うので、"
1545000,1549000,"金曜日までにはご連絡させていただければと思います。"
1549000,1551000,"わかりました。"
1551000,1558000,"先行が通っていなかったら、連絡が来なかったりする感じですかね。"
1558000,1561000,"いずれにせよご連絡をさせていただきますので、"
1561000,1564000,"あることをお待ちいただければと思います。"
1564000,1566000,"わかりました。"
1566000,1576000,"ごめんなさい。先行結果が通ったとなった際に最短で金曜日だとして、"
1576000,1583000,"金曜日に通りましたよとなったら、そこから職場見学日程を決めていく、"
1583000,1587000,"今後の流れを始めていく感じということでよろしいですか。"
1587000,1590000,"はい。そちらの認識では間違いないです。"
1590000,1592000,"わかりました。ありがとうございます。"
1592000,1595000,"全然とんでもないです。その他は大丈夫そうですか?"
1595000,1609000,"そうですね。職場見学をして、そちらの会社様を担当の方と面接みたいな感じですか。"
1609000,1626000,"面接とかは特になくて、職場見学でお話を聞いてもらったり、社内見学をさせてもらった後に先行からオファーが来ましたら、お仕事を開始いただくという流れになります。"
1626000,1629000,"わかりました。ありがとうございます。"
1629000,1631000,"その他は大丈夫そうですか。"
1631000,1632000,"大丈夫です。"
1632000,1633000,"ありがとうございます。"
1633000,1640000,"社内先行のご連絡をさせていただければと思いますので、引き続きよろしくお願いします。"
1640000,1642000,"はい。お願いします。"
1642000,1644000,"お時間いただきました。ありがとうございました。"
1644000,1646000,"こちらこそありがとうございました。"
1646000,1648000,"引き続きよろしくお願いします。"
1648000,1650000,"はい。お願いいたします。失礼いたします。"
1650000,1651000,"失礼いたします。"
